"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10 uf","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",""
"C2","1","100 nf","","","","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
"J2","1","Barrel_Jack","","","","Connector_BarrelJack:BarrelJack_Horizontal",""
"LS1","1","Speaker","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"Q1,Q2,Q3","3","PN2222A","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"R1","1","1000","","","","Resistor_SMD:R_01005_0402Metric",""
"R2,R5","2","220","","","","Resistor_SMD:R_01005_0402Metric",""
"R3","1","10k","","","","Resistor_SMD:R_01005_0402Metric",""
"R4","1","1k","","","","Resistor_SMD:R_01005_0402Metric",""
"R6","1","100","","","","Resistor_SMD:R_01005_0402Metric",""
"RV1","1","100k","","","","Potentiometer_THT:Potentiometer_ACP_CA14V-15_Vertical",""
"RV2","1","2k","","","","Potentiometer_THT:Potentiometer_ACP_CA14V-15_Vertical",""
"SW1","1","SW_SPST","","","","Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile",""
